pseudonym,Our,Vanilla VAE
260121025,0.1281595513484481,0.16806979403558225
170221041,0.10207768716128067,0.14141599008850333
90321052,0.19970851640070544,0.23412060718374236
210321059,0.024914405348508563,0.1419297275787014
110421069,0.045263117249452166,0.11667978975889778
120421070,0.042563104836756245,0.07639677753699688
140721114,0.04510876686902395,0.07819139710918856
220721117,0.0282590960792186,0.0913048335816225
141021143,0.12596393616463156,0.1353322112597118
170222196,0.06356068132630253,0.05336553094177756
230222202,0.02637618467194313,0.040290287601104424
250521091,0.04593230205881919,0.059253705140112106
mean,0.025921227075458218,0.03568774187668062
